2025-10-29 02:23:18 | INFO     | MemoryMonitor | {"stage": "Graph_Gated_end", "timestamp": "2025-10-29T02:23:18.704012", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.57414627075195, "cpu_used_gb": 8.858592987060547, "cpu_percent": 14.4, "process_rss_gb": 2.2374305725097656, "process_vms_gb": 31.44192886352539, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125, "status": "failed", "training_time": 0.2036895751953125, "memory_delta_gb": -0.0170745849609375}
2025-10-29 02:23:23 | INFO     | MemoryMonitor | {"stage": "Graph_PetriNet_start", "timestamp": "2025-10-29T02:23:23.707040", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.579673767089844, "cpu_used_gb": 8.853065490722656, "cpu_percent": 14.4, "process_rss_gb": 2.2374305725097656, "process_vms_gb": 31.44192886352539, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125}
2025-10-29 03:02:58 | INFO     | MemoryMonitor | {"stage": "Graph_PetriNet_end", "timestamp": "2025-10-29T03:02:58.791880", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 51.02192687988281, "cpu_used_gb": 10.410812377929688, "cpu_percent": 16.9, "process_rss_gb": 2.237384796142578, "process_vms_gb": 31.441883087158203, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125, "status": "success", "training_time": 2375.079875946045, "memory_delta_gb": 1.5577468872070312}
2025-10-29 03:03:03 | INFO     | MemoryMonitor | {"stage": "Decoder_Mixture_start", "timestamp": "2025-10-29T03:03:03.793539", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 51.00630569458008, "cpu_used_gb": 10.426433563232422, "cpu_percent": 17.0, "process_rss_gb": 2.237384796142578, "process_vms_gb": 31.441883087158203, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125}
2025-10-29 03:42:54 | INFO     | MemoryMonitor | {"stage": "Decoder_Mixture_end", "timestamp": "2025-10-29T03:42:54.352668", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 50.778873443603516, "cpu_used_gb": 10.653865814208984, "cpu_percent": 17.3, "process_rss_gb": 2.2432594299316406, "process_vms_gb": 31.445804595947266, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.69140625, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.69140625, "status": "success", "training_time": 2390.55393075943, "memory_delta_gb": 0.2274322509765625}
2025-10-29 03:42:59 | INFO     | MemoryMonitor | {"stage": "Decoder_MDN_start", "timestamp": "2025-10-29T03:42:59.354406", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 50.79108810424805, "cpu_used_gb": 10.641651153564453, "cpu_percent": 17.3, "process_rss_gb": 2.2432594299316406, "process_vms_gb": 31.445804595947266, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.69140625, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.69140625}
2025-10-29 04:22:27 | INFO     | MemoryMonitor | {"stage": "Decoder_MDN_end", "timestamp": "2025-10-29T04:22:27.935132", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 50.65712356567383, "cpu_used_gb": 10.775615692138672, "cpu_percent": 17.5, "process_rss_gb": 2.336822509765625, "process_vms_gb": 31.535606384277344, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.69140625, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.69140625, "status": "error", "training_time": 2368.5660417079926, "memory_delta_gb": 0.13396453857421875}
2025-10-29 04:22:32 | INFO     | MemoryMonitor | {"stage": "Decoder_Both_start", "timestamp": "2025-10-29T04:22:32.937271", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 50.64561462402344, "cpu_used_gb": 10.787124633789062, "cpu_percent": 17.6, "process_rss_gb": 2.336822509765625, "process_vms_gb": 31.535606384277344, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.69140625, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.69140625}
2025-10-29 05:01:59 | INFO     | MemoryMonitor | {"stage": "Decoder_Both_end", "timestamp": "2025-10-29T05:01:59.254435", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 50.65846633911133, "cpu_used_gb": 10.774272918701172, "cpu_percent": 17.5, "process_rss_gb": 2.3710784912109375, "process_vms_gb": 31.569515228271484, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.69140625, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.69140625, "status": "error", "training_time": 2366.3018889427185, "memory_delta_gb": -0.012851715087890625}
2025-10-29 05:02:04 | INFO     | MemoryMonitor | {"stage": "Hierarchical_Mapping_start", "timestamp": "2025-10-29T05:02:04.256543", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 50.65656661987305, "cpu_used_gb": 10.776172637939453, "cpu_percent": 17.5, "process_rss_gb": 2.3710784912109375, "process_vms_gb": 31.569515228271484, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.69140625, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.69140625}
2025-10-29 05:41:54 | INFO     | MemoryMonitor | {"stage": "Hierarchical_Mapping_end", "timestamp": "2025-10-29T05:41:54.316308", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 50.690921783447266, "cpu_used_gb": 10.741817474365234, "cpu_percent": 17.5, "process_rss_gb": 2.3919754028320312, "process_vms_gb": 31.575618743896484, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.693359375, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.693359375, "status": "success", "training_time": 2390.0549664497375, "memory_delta_gb": -0.03435516357421875}
2025-10-29 05:41:59 | INFO     | MemoryMonitor | {"stage": "Efficient_Covariate_start", "timestamp": "2025-10-29T05:41:59.318014", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 50.67893600463867, "cpu_used_gb": 10.753803253173828, "cpu_percent": 17.5, "process_rss_gb": 2.3919754028320312, "process_vms_gb": 31.575618743896484, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.693359375, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.693359375}
2025-10-29 05:41:59 | INFO     | MemoryMonitor | {"stage": "Efficient_Covariate_end", "timestamp": "2025-10-29T05:41:59.527580", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 50.7235107421875, "cpu_used_gb": 10.709228515625, "cpu_percent": 17.4, "process_rss_gb": 2.344318389892578, "process_vms_gb": 31.520931243896484, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.693359375, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.693359375, "status": "failed", "training_time": 0.20712804794311523, "memory_delta_gb": -0.04456329345703125}
2025-10-29 05:42:04 | INFO     | MemoryMonitor | {"stage": "Full_Advanced_start", "timestamp": "2025-10-29T05:42:04.529913", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 50.7191276550293, "cpu_used_gb": 10.713611602783203, "cpu_percent": 17.4, "process_rss_gb": 2.344318389892578, "process_vms_gb": 31.520931243896484, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.693359375, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.693359375}
2025-10-29 05:42:04 | INFO     | MemoryMonitor | {"stage": "Full_Advanced_end", "timestamp": "2025-10-29T05:42:04.771442", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 50.67410659790039, "cpu_used_gb": 10.75863265991211, "cpu_percent": 17.5, "process_rss_gb": 2.344318389892578, "process_vms_gb": 31.520931243896484, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.693359375, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.693359375, "status": "failed", "training_time": 0.22019171714782715, "memory_delta_gb": 0.044780731201171875}
